    1    1 0.21132D+00 0.21132D+00 0.21132D+00 0.10000D+02 0.88818D-15 0.00000D+00 0.95884D-16-0.43486D-15-0.17881D-15
    1    2 0.78868D+00 0.21132D+00 0.21132D+00 0.10000D+02 0.88818D-15 0.00000D+00 0.32718D-15 0.54815D-15 0.27584D-15
    1    3 0.21132D+00 0.78868D+00 0.21132D+00 0.10000D+02 0.88818D-15 0.44409D-15 0.15955D-15-0.45726D-15-0.17881D-15
    1    4 0.78868D+00 0.78868D+00 0.21132D+00 0.10000D+02 0.88818D-15 0.44409D-15 0.27520D-15 0.23663D-15-0.17229D-15
    1    5 0.21132D+00 0.21132D+00 0.78868D+00 0.10000D+02-0.88818D-15-0.44409D-15-0.30304D-15-0.74638D-15 0.42877D-15
    1    6 0.78868D+00 0.21132D+00 0.78868D+00 0.10000D+02-0.88818D-15-0.88818D-15-0.64999D-15 0.35228D-15 0.86203D-15
    1    7 0.21132D+00 0.78868D+00 0.78868D+00 0.10000D+02 0.00000D+00 0.44409D-15-0.28489D-15-0.54442D-15 0.19747D-15
    1    8 0.78868D+00 0.78868D+00 0.78868D+00 0.10000D+02 0.00000D+00 0.44409D-15-0.74748D-15 0.26512D-15 0.74638D-15
 lmn,node,x1,x2,x3,u1,u2,u3
    2    1 0.11000D+01 0.00000D+00-0.34265D-16 0.10000D+00 0.00000D+00-0.34265D-16
    2    2 0.22000D+01 0.00000D+00-0.84895D-16 0.20000D+00 0.00000D+00-0.84895D-16
    2    3 0.22000D+01 0.95000D+00-0.62281D-16 0.20000D+00-0.50000D-01-0.62281D-16
    2    4 0.11000D+01 0.95000D+00-0.36417D-16 0.10000D+00-0.50000D-01-0.36417D-16
    2    5 0.11000D+01 0.00000D+00 0.95000D+00 0.10000D+00 0.00000D+00-0.50000D-01
    2    6 0.22000D+01 0.00000D+00 0.95000D+00 0.20000D+00 0.00000D+00-0.50000D-01
    2    7 0.22000D+01 0.95000D+00 0.95000D+00 0.20000D+00-0.50000D-01-0.50000D-01
    2    8 0.11000D+01 0.95000D+00 0.95000D+00 0.10000D+00-0.50000D-01-0.50000D-01
 lmn,kint,x1,x2,x3,s11,s22,s33,s12,s13,s23
    2    1 0.12113D+01 0.21132D+00 0.21132D+00 0.10000D+02 0.44409D-15-0.44409D-15 0.30860D-15 0.11181D-14 0.20668D-15
    2    2 0.17887D+01 0.21132D+00 0.21132D+00 0.10000D+02 0.44409D-15-0.44409D-15-0.47202D-15 0.30860D-15-0.20741D-15
